IdRegistro,TotalGastado,TicketPromedio,CantidadProductosComprados,CantidadTiendasDiferentes,PorcentajeCancelacion,AntiguedadClienteDias,DiasDesdeUltimaCompra,FrecuenciaCompraDias,IdCategoriaFavorita,MetodoEntregaMasUsado,ClienteRecurrente
1,129.95,32.76,13,2,0.38,674,14,35.88,1,TIENDA,1
2,150.88,12.71,22,5,1.92,47,35,30.87,4,TIENDA,1
3,19.59,4.92,13,3,28.28,364,13,29.65,5,TIENDA,0
4,158.04,34.71,14,2,5.44,390,73,26.02,3,TIENDA,0
5,16.98,20.41,1,1,11.87,706,34,17.22,5,TIENDA,1
6,31.81,26.77,1,1,7.87,77,29,35.83,4,ALIADO,0
7,146.75,26.3,22,5,11.97,166,33,39.85,5,TIENDA,1
8,14.8,15.04,1,1,6.64,132,19,5.49,1,RECOGER_TIENDA,1
9,431.57,25.47,23,1,11.66,569,96,21.73,2,TIENDA,1
10,69.68,43.55,4,1,0.01,660,38,33.73,3,TIENDA,1
11,120.28,58.67,10,1,0.83,391,112,51.08,5,RECOGER_TIENDA,0
12,142.65,18.22,20,5,3.74,506,70,33.34,3,TIENDA,1
13,109.02,7.89,19,5,0.81,143,31,26.16,1,ALIADO,1
14,46.64,22.48,7,1,4.88,263,35,18.92,1,TIENDA,0
15,167.23,51.98,14,1,6.44,453,52,3,2,TIENDA,1
16,206.6,85.83,7,1,48.49,275,111,38.38,2,TIENDA,0
17,129.28,25.33,14,4,54.8,430,115,37.66,5,RECOGER_TIENDA,0
18,132.27,27.93,14,1,18.77,214,37,25.05,5,TIENDA,1
19,74.27,47.39,6,1,7.89,629,8,19.03,5,TIENDA,0
20,120.43,43.68,6,2,12.4,229,85,21.66,5,ALIADO,0
21,320.76,52.11,18,3,42.25,95,68,26.7,5,ALIADO,0
22,48.48,35.97,3,1,3.27,561,1,14.59,5,TIENDA,1
23,119.23,53.64,4,1,0.04,723,81,34.72,2,RECOGER_TIENDA,0
24,58.82,57.51,2,1,37.05,472,70,18.71,2,TIENDA,1
25,41.71,36.85,3,1,50.02,393,115,60.66,4,ALIADO,0
26,201.54,30.63,24,2,46.5,262,110,38.06,2,TIENDA,0
27,45.44,39.16,1,1,21.59,130,48,44.6,2,TIENDA,1
28,118.49,26.15,19,5,11.8,91,35,13.37,1,TIENDA,1
29,131.2,36.39,6,2,9.68,341,55,9.9,2,TIENDA,1
30,192.29,25.45,18,1,3.55,700,117,17.71,2,TIENDA,0
31,7.95,3,7,2,38.09,408,86,23.89,3,TIENDA,0
32,98.22,20.92,14,2,11.42,238,65,3,2,RECOGER_TIENDA,1
33,38.25,7.05,12,4,8.62,223,18,35.11,4,TIENDA,1
34,112.6,30.0,12,1,6.69,691,88,49.0,1,TIENDA,0
35,40.01,8.62,11,2,10.77,703,67,44.12,4,TIENDA,0
36,23.93,27.01,2,1,6.48,672,35,25.81,2,TIENDA,1
37,114.23,12.0,20,3,37.12,176,90,27.49,1,ALIADO,0
38,275.15,51.98,12,4,7.24,409,61,37.96,2,TIENDA,0
39,142.99,23.05,19,4,10.88,517,3,6.92,5,RECOGER_TIENDA,1
40,169.91,27.09,18,1,23.97,678,54,34.99,4,TIENDA,1
